Id_passageiro,Sobrevivente,Classe,Sexo,Sexo (Nominal),Idade,Irmaos_conjunges,Pais_Filhos,Bilhete,Custo_Bilhete,Cabine,Porto_embarque,Porto_embarque (Ordinal)
1,0,3,Masculino,1,22.0,1,0,A/5 21171,7.25,Nao identificado,S,3.0
2,1,1,Feminino,2,38.0,1,0,PC 17599,71.28,C85,C,1.0
3,1,3,Feminino,2,26.0,0,0,STON/O2. 3101282,7.92,Nao identificado,S,3.0
4,1,1,Feminino,2,35.0,1,0,113803,53.1,C123,S,3.0
5,0,3,Masculino,1,35.0,0,0,373450,8.05,Nao identificado,S,3.0
6,0,3,Masculino,1,,0,0,330877,8.46,Nao identificado,Q,2.0
7,0,1,Masculino,1,54.0,0,0,17463,51.86,E46,S,3.0
9,1,3,Feminino,2,27.0,0,2,347742,11.13,Nao identificado,S,3.0
10,1,2,Feminino,2,14.0,1,0,237736,30.07,Nao identificado,C,1.0
12,1,1,Feminino,2,58.0,0,0,113783,26.55,C103,S,3.0
13,0,3,Masculino,1,20.0,0,0,A/5. 2151,8.05,Nao identificado,S,3.0
14,0,3,Masculino,1,39.0,1,5,347082,31.28,Nao identificado,S,3.0
15,0,3,Feminino,2,14.0,0,0,350406,7.85,Nao identificado,S,3.0
16,1,2,Feminino,2,55.0,0,0,248706,16.0,Nao identificado,S,3.0
18,1,2,Masculino,1,,0,0,244373,13.0,Nao identificado,S,3.0
19,0,3,Feminino,2,31.0,1,0,345763,18.0,Nao identificado,S,3.0
20,1,3,Feminino,2,,0,0,2649,7.22,Nao identificado,C,1.0
21,0,2,Masculino,1,35.0,0,0,239865,26.0,Nao identificado,S,3.0
22,1,2,Masculino,1,34.0,0,0,248698,13.0,D56,S,3.0
23,1,3,Feminino,2,15.0,0,0,330923,8.03,Nao identificado,Q,2.0
24,1,1,Masculino,1,28.0,0,0,113788,35.5,A6,S,3.0
26,1,3,Feminino,2,38.0,1,5,347077,31.39,Nao identificado,S,3.0
27,0,3,Masculino,1,,0,0,2631,7.22,Nao identificado,C,1.0
28,0,1,Masculino,1,19.0,3,2,19950,263.0,C23 C25 C27,S,3.0
29,1,3,Feminino,2,,0,0,330959,7.88,Nao identificado,Q,2.0
30,0,3,Masculino,1,,0,0,349216,7.9,Nao identificado,S,3.0
31,0,1,Masculino,1,40.0,0,0,PC 17601,27.72,Nao identificado,C,1.0
32,1,1,Feminino,2,,1,0,PC 17569,146.52,B78,C,1.0
33,1,3,Feminino,2,,0,0,335677,7.75,Nao identificado,Q,2.0
34,0,2,Masculino,1,66.0,0,0,C.A. 24579,10.5,Nao identificado,S,3.0
35,0,1,Masculino,1,28.0,1,0,PC 17604,82.17,Nao identificado,C,1.0
36,0,1,Masculino,1,42.0,1,0,113789,52.0,Nao identificado,S,3.0
37,1,3,Masculino,1,,0,0,2677,7.23,Nao identificado,C,1.0
38,0,3,Masculino,1,21.0,0,0,A./5. 2152,8.05,Nao identificado,S,3.0
39,0,3,Feminino,2,18.0,2,0,345764,18.0,Nao identificado,S,3.0
40,1,3,Feminino,2,14.0,1,0,2651,11.24,Nao identificado,C,1.0
41,0,3,Feminino,2,40.0,1,0,7546,9.48,Nao identificado,S,3.0
42,0,2,Feminino,2,27.0,1,0,11668,21.0,Nao identificado,S,3.0
43,0,3,Masculino,1,,0,0,349253,7.9,Nao identificado,C,1.0
45,1,3,Feminino,2,19.0,0,0,330958,7.88,Nao identificado,Q,2.0
46,0,3,Masculino,1,,0,0,S.C./A.4. 23567,8.05,Nao identificado,S,3.0
47,0,3,Masculino,1,,1,0,370371,15.5,Nao identificado,Q,2.0
48,1,3,Feminino,2,,0,0,14311,7.75,Nao identificado,Q,2.0
49,0,3,Masculino,1,,2,0,2662,21.68,Nao identificado,C,1.0
50,0,3,Feminino,2,18.0,1,0,349237,17.8,Nao identificado,S,3.0
52,0,3,Masculino,1,21.0,0,0,A/4. 39886,7.8,Nao identificado,S,3.0
53,1,1,Feminino,2,49.0,1,0,PC 17572,76.73,D33,C,1.0
54,1,2,Feminino,2,29.0,1,0,2926,26.0,Nao identificado,S,3.0
55,0,1,Masculino,1,65.0,0,1,113509,61.98,B30,C,1.0
56,1,1,Masculino,1,,0,0,19947,35.5,C52,S,3.0
57,1,2,Feminino,2,21.0,0,0,C.A. 31026,10.5,Nao identificado,S,3.0
58,0,3,Masculino,1,28.5,0,0,2697,7.23,Nao identificado,C,1.0
60,0,3,Masculino,1,11.0,5,2,CA 2144,46.9,Nao identificado,S,3.0
61,0,3,Masculino,1,22.0,0,0,2669,7.23,Nao identificado,C,1.0
62,1,1,Feminino,2,38.0,0,0,113572,80.0,B28,,
63,0,1,Masculino,1,45.0,1,0,36973,83.48,C83,S,3.0
65,0,1,Masculino,1,,0,0,PC 17605,27.72,Nao identificado,C,1.0
66,1,3,Masculino,1,,1,1,2661,15.25,Nao identificado,C,1.0
67,1,2,Feminino,2,29.0,0,0,C.A. 29395,10.5,F33,S,3.0
68,0,3,Masculino,1,19.0,0,0,S.P. 3464,8.16,Nao identificado,S,3.0
69,1,3,Feminino,2,17.0,4,2,3101281,7.92,Nao identificado,S,3.0
70,0,3,Masculino,1,26.0,2,0,315151,8.66,Nao identificado,S,3.0
71,0,2,Masculino,1,32.0,0,0,C.A. 33111,10.5,Nao identificado,S,3.0
72,0,3,Feminino,2,16.0,5,2,CA 2144,46.9,Nao identificado,S,3.0
73,0,2,Masculino,1,21.0,0,0,S.O.C. 14879,73.5,Nao identificado,S,3.0
74,0,3,Masculino,1,26.0,1,0,2680,14.45,Nao identificado,C,1.0
75,1,3,Masculino,1,32.0,0,0,1601,56.5,Nao identificado,S,3.0
76,0,3,Masculino,1,25.0,0,0,348123,7.65,F G73,S,3.0
77,0,3,Masculino,1,,0,0,349208,7.9,Nao identificado,S,3.0
78,0,3,Masculino,1,,0,0,374746,8.05,Nao identificado,S,3.0
80,1,3,Feminino,2,30.0,0,0,364516,12.48,Nao identificado,S,3.0
81,0,3,Masculino,1,22.0,0,0,345767,9.0,Nao identificado,S,3.0
82,1,3,Masculino,1,29.0,0,0,345779,9.5,Nao identificado,S,3.0
83,1,3,Feminino,2,,0,0,330932,7.79,Nao identificado,Q,2.0
84,0,1,Masculino,1,28.0,0,0,113059,47.1,Nao identificado,S,3.0
85,1,2,Feminino,2,17.0,0,0,SO/C 14885,10.5,Nao identificado,S,3.0
86,1,3,Feminino,2,33.0,3,0,3101278,15.85,Nao identificado,S,3.0
87,0,3,Masculino,1,16.0,1,3,W./C. 6608,34.38,Nao identificado,S,3.0
88,0,3,Masculino,1,,0,0,SOTON/OQ 392086,8.05,Nao identificado,S,3.0
89,1,1,Feminino,2,23.0,3,2,19950,263.0,C23 C25 C27,S,3.0
90,0,3,Masculino,1,24.0,0,0,343275,8.05,Nao identificado,S,3.0
91,0,3,Masculino,1,29.0,0,0,343276,8.05,Nao identificado,S,3.0
92,0,3,Masculino,1,20.0,0,0,347466,7.85,Nao identificado,S,3.0
93,0,1,Masculino,1,46.0,1,0,W.E.P. 5734,61.18,E31,S,3.0
94,0,3,Masculino,1,26.0,1,2,C.A. 2315,20.58,Nao identificado,S,3.0
95,0,3,Masculino,1,59.0,0,0,364500,7.25,Nao identificado,S,3.0
96,0,3,Masculino,1,,0,0,374910,8.05,Nao identificado,S,3.0
97,0,1,Masculino,1,71.0,0,0,PC 17754,34.65,A5,C,1.0
98,1,1,Masculino,1,23.0,0,1,PC 17759,63.36,D10 D12,C,1.0
99,1,2,Feminino,2,34.0,0,1,231919,23.0,Nao identificado,S,3.0
100,0,2,Masculino,1,34.0,1,0,244367,26.0,Nao identificado,S,3.0
101,0,3,Feminino,2,28.0,0,0,349245,7.9,Nao identificado,S,3.0
102,0,3,Masculino,1,,0,0,349215,7.9,Nao identificado,S,3.0
103,0,1,Masculino,1,21.0,0,1,35281,77.29,D26,S,3.0
104,0,3,Masculino,1,33.0,0,0,7540,8.65,Nao identificado,S,3.0
105,0,3,Masculino,1,37.0,2,0,3101276,7.92,Nao identificado,S,3.0
106,0,3,Masculino,1,28.0,0,0,349207,7.9,Nao identificado,S,3.0
107,1,3,Feminino,2,21.0,0,0,343120,7.65,Nao identificado,S,3.0
108,1,3,Masculino,1,,0,0,312991,7.78,Nao identificado,S,3.0
109,0,3,Masculino,1,38.0,0,0,349249,7.9,Nao identificado,S,3.0
110,1,3,Feminino,2,,1,0,371110,24.15,Nao identificado,Q,2.0
111,0,1,Masculino,1,47.0,0,0,110465,52.0,C110,S,3.0
112,0,3,Feminino,2,14.5,1,0,2665,14.45,Nao identificado,C,1.0
113,0,3,Masculino,1,22.0,0,0,324669,8.05,Nao identificado,S,3.0
114,0,3,Feminino,2,20.0,1,0,4136,9.82,Nao identificado,S,3.0
115,0,3,Feminino,2,17.0,0,0,2627,14.46,Nao identificado,C,1.0
116,0,3,Masculino,1,21.0,0,0,STON/O 2. 3101294,7.92,Nao identificado,S,3.0
117,0,3,Masculino,1,70.5,0,0,370369,7.75,Nao identificado,Q,2.0
118,0,2,Masculino,1,29.0,1,0,11668,21.0,Nao identificado,S,3.0
119,0,1,Masculino,1,24.0,0,1,PC 17558,247.52,B58 B60,C,1.0
121,0,2,Masculino,1,21.0,2,0,S.O.C. 14879,73.5,Nao identificado,S,3.0
122,0,3,Masculino,1,,0,0,A4. 54510,8.05,Nao identificado,S,3.0
123,0,2,Masculino,1,32.5,1,0,237736,30.07,Nao identificado,C,1.0
124,1,2,Feminino,2,32.5,0,0,27267,13.0,E101,S,3.0
125,0,1,Masculino,1,54.0,0,1,35281,77.29,D26,S,3.0
126,1,3,Masculino,1,12.0,1,0,2651,11.24,Nao identificado,C,1.0
127,0,3,Masculino,1,,0,0,370372,7.75,Nao identificado,Q,2.0
128,1,3,Masculino,1,24.0,0,0,C 17369,7.14,Nao identificado,S,3.0
129,1,3,Feminino,2,,1,1,2668,22.36,F E69,C,1.0
130,0,3,Masculino,1,45.0,0,0,347061,6.98,Nao identificado,S,3.0
131,0,3,Masculino,1,33.0,0,0,349241,7.9,Nao identificado,C,1.0
132,0,3,Masculino,1,20.0,0,0,SOTON/O.Q. 3101307,7.05,Nao identificado,S,3.0
133,0,3,Feminino,2,47.0,1,0,A/5. 3337,14.5,Nao identificado,S,3.0
134,1,2,Feminino,2,29.0,1,0,228414,26.0,Nao identificado,S,3.0
135,0,2,Masculino,1,25.0,0,0,C.A. 29178,13.0,Nao identificado,S,3.0
136,0,2,Masculino,1,23.0,0,0,SC/PARIS 2133,15.05,Nao identificado,C,1.0
137,1,1,Feminino,2,19.0,0,2,11752,26.28,D47,S,3.0
138,0,1,Masculino,1,37.0,1,0,113803,53.1,C123,S,3.0
139,0,3,Masculino,1,16.0,0,0,7534,9.22,Nao identificado,S,3.0
140,0,1,Masculino,1,24.0,0,0,PC 17593,79.2,B86,C,1.0
141,0,3,Feminino,2,,0,2,2678,15.25,Nao identificado,C,1.0
142,1,3,Feminino,2,22.0,0,0,347081,7.75,Nao identificado,S,3.0
143,1,3,Feminino,2,24.0,1,0,STON/O2. 3101279,15.85,Nao identificado,S,3.0
144,0,3,Masculino,1,19.0,0,0,365222,6.75,Nao identificado,Q,2.0
145,0,2,Masculino,1,18.0,0,0,231945,11.5,Nao identificado,S,3.0
146,0,2,Masculino,1,19.0,1,1,C.A. 33112,36.75,Nao identificado,S,3.0
147,1,3,Masculino,1,27.0,0,0,350043,7.8,Nao identificado,S,3.0
149,0,2,Masculino,1,36.5,0,2,230080,26.0,F2,S,3.0
150,0,2,Masculino,1,42.0,0,0,244310,13.0,Nao identificado,S,3.0
151,0,2,Masculino,1,51.0,0,0,S.O.P. 1166,12.52,Nao identificado,S,3.0
152,1,1,Feminino,2,22.0,1,0,113776,66.6,C2,S,3.0
153,0,3,Masculino,1,55.5,0,0,A.5. 11206,8.05,Nao identificado,S,3.0
154,0,3,Masculino,1,40.5,0,2,A/5. 851,14.5,Nao identificado,S,3.0
155,0,3,Masculino,1,,0,0,Fa 265302,7.31,Nao identificado,S,3.0
156,0,1,Masculino,1,51.0,0,1,PC 17597,61.38,Nao identificado,C,1.0
157,1,3,Feminino,2,16.0,0,0,35851,7.73,Nao identificado,Q,2.0
158,0,3,Masculino,1,30.0,0,0,SOTON/OQ 392090,8.05,Nao identificado,S,3.0
159,0,3,Masculino,1,,0,0,315037,8.66,Nao identificado,S,3.0
160,0,3,Masculino,1,,8,2,CA. 2343,69.55,Nao identificado,S,3.0
161,0,3,Masculino,1,44.0,0,1,371362,16.1,Nao identificado,S,3.0
162,1,2,Feminino,2,40.0,0,0,C.A. 33595,15.75,Nao identificado,S,3.0
163,0,3,Masculino,1,26.0,0,0,347068,7.78,Nao identificado,S,3.0
164,0,3,Masculino,1,17.0,0,0,315093,8.66,Nao identificado,S,3.0
167,1,1,Feminino,2,,0,1,113505,55.0,E33,S,3.0
168,0,3,Feminino,2,45.0,1,4,347088,27.9,Nao identificado,S,3.0
169,0,1,Masculino,1,,0,0,PC 17318,25.92,Nao identificado,S,3.0
170,0,3,Masculino,1,28.0,0,0,1601,56.5,Nao identificado,S,3.0
171,0,1,Masculino,1,61.0,0,0,111240,33.5,B19,S,3.0
174,0,3,Masculino,1,21.0,0,0,STON/O 2. 3101280,7.92,Nao identificado,S,3.0
175,0,1,Masculino,1,56.0,0,0,17764,30.7,A7,C,1.0
176,0,3,Masculino,1,18.0,1,1,350404,7.85,Nao identificado,S,3.0
177,0,3,Masculino,1,,3,1,4133,25.47,Nao identificado,S,3.0
178,0,1,Feminino,2,50.0,0,0,PC 17595,28.71,C49,C,1.0
179,0,2,Masculino,1,30.0,0,0,250653,13.0,Nao identificado,S,3.0
180,0,3,Masculino,1,36.0,0,0,LINE,0.0,Nao identificado,S,3.0
181,0,3,Feminino,2,,8,2,CA. 2343,69.55,Nao identificado,S,3.0
182,0,2,Masculino,1,,0,0,SC/PARIS 2131,15.05,Nao identificado,C,1.0
186,0,1,Masculino,1,,0,0,113767,50.0,A32,S,3.0
187,1,3,Feminino,2,,1,0,370365,15.5,Nao identificado,Q,2.0
188,1,1,Masculino,1,45.0,0,0,111428,26.55,Nao identificado,S,3.0
189,0,3,Masculino,1,40.0,1,1,364849,15.5,Nao identificado,Q,2.0
190,0,3,Masculino,1,36.0,0,0,349247,7.9,Nao identificado,S,3.0
191,1,2,Feminino,2,32.0,0,0,234604,13.0,Nao identificado,S,3.0
192,0,2,Masculino,1,19.0,0,0,28424,13.0,Nao identificado,S,3.0
193,1,3,Feminino,2,19.0,1,0,350046,7.85,Nao identificado,S,3.0
195,1,1,Feminino,2,44.0,0,0,PC 17610,27.72,B4,C,1.0
196,1,1,Feminino,2,58.0,0,0,PC 17569,146.52,B80,C,1.0
197,0,3,Masculino,1,,0,0,368703,7.75,Nao identificado,Q,2.0
198,0,3,Masculino,1,42.0,0,1,4579,8.4,Nao identificado,S,3.0
199,1,3,Feminino,2,,0,0,370370,7.75,Nao identificado,Q,2.0
200,0,2,Feminino,2,24.0,0,0,248747,13.0,Nao identificado,S,3.0
201,0,3,Masculino,1,28.0,0,0,345770,9.5,Nao identificado,S,3.0
202,0,3,Masculino,1,,8,2,CA. 2343,69.55,Nao identificado,S,3.0
203,0,3,Masculino,1,34.0,0,0,3101264,6.5,Nao identificado,S,3.0
204,0,3,Masculino,1,45.5,0,0,2628,7.22,Nao identificado,C,1.0
205,1,3,Masculino,1,18.0,0,0,A/5 3540,8.05,Nao identificado,S,3.0
207,0,3,Masculino,1,32.0,1,0,3101278,15.85,Nao identificado,S,3.0
208,1,3,Masculino,1,26.0,0,0,2699,18.79,Nao identificado,C,1.0
209,1,3,Feminino,2,16.0,0,0,367231,7.75,Nao identificado,Q,2.0
210,1,1,Masculino,1,40.0,0,0,112277,31.0,A31,C,1.0
211,0,3,Masculino,1,24.0,0,0,SOTON/O.Q. 3101311,7.05,Nao identificado,S,3.0
212,1,2,Feminino,2,35.0,0,0,F.C.C. 13528,21.0,Nao identificado,S,3.0
213,0,3,Masculino,1,22.0,0,0,A/5 21174,7.25,Nao identificado,S,3.0
214,0,2,Masculino,1,30.0,0,0,250646,13.0,Nao identificado,S,3.0
215,0,3,Masculino,1,,1,0,367229,7.75,Nao identificado,Q,2.0
216,1,1,Feminino,2,31.0,1,0,35273,113.28,D36,C,1.0
217,1,3,Feminino,2,27.0,0,0,STON/O2. 3101283,7.92,Nao identificado,S,3.0
218,0,2,Masculino,1,42.0,1,0,243847,27.0,Nao identificado,S,3.0
219,1,1,Feminino,2,32.0,0,0,11813,76.29,D15,C,1.0
220,0,2,Masculino,1,30.0,0,0,W/C 14208,10.5,Nao identificado,S,3.0
221,1,3,Masculino,1,16.0,0,0,SOTON/OQ 392089,8.05,Nao identificado,S,3.0
222,0,2,Masculino,1,27.0,0,0,220367,13.0,Nao identificado,S,3.0
223,0,3,Masculino,1,51.0,0,0,21440,8.05,Nao identificado,S,3.0
224,0,3,Masculino,1,,0,0,349234,7.9,Nao identificado,S,3.0
225,1,1,Masculino,1,38.0,1,0,19943,90.0,C93,S,3.0
226,0,3,Masculino,1,22.0,0,0,PP 4348,9.35,Nao identificado,S,3.0
227,1,2,Masculino,1,19.0,0,0,SW/PP 751,10.5,Nao identificado,S,3.0
228,0,3,Masculino,1,20.5,0,0,A/5 21173,7.25,Nao identificado,S,3.0
229,0,2,Masculino,1,18.0,0,0,236171,13.0,Nao identificado,S,3.0
230,0,3,Feminino,2,,3,1,4133,25.47,Nao identificado,S,3.0
231,1,1,Feminino,2,35.0,1,0,36973,83.48,C83,S,3.0
232,0,3,Masculino,1,29.0,0,0,347067,7.78,Nao identificado,S,3.0
233,0,2,Masculino,1,59.0,0,0,237442,13.5,Nao identificado,S,3.0
235,0,2,Masculino,1,24.0,0,0,C.A. 29566,10.5,Nao identificado,S,3.0
236,0,3,Feminino,2,,0,0,W./C. 6609,7.55,Nao identificado,S,3.0
237,0,2,Masculino,1,44.0,1,0,26707,26.0,Nao identificado,S,3.0
239,0,2,Masculino,1,19.0,0,0,28665,10.5,Nao identificado,S,3.0
240,0,2,Masculino,1,33.0,0,0,SCO/W 1585,12.28,Nao identificado,S,3.0
241,0,3,Feminino,2,,1,0,2665,14.45,Nao identificado,C,1.0
242,1,3,Feminino,2,,1,0,367230,15.5,Nao identificado,Q,2.0
243,0,2,Masculino,1,29.0,0,0,W./C. 14263,10.5,Nao identificado,S,3.0
244,0,3,Masculino,1,22.0,0,0,STON/O 2. 3101275,7.12,Nao identificado,S,3.0
245,0,3,Masculino,1,30.0,0,0,2694,7.22,Nao identificado,C,1.0
246,0,1,Masculino,1,44.0,2,0,19928,90.0,C78,Q,2.0
247,0,3,Feminino,2,25.0,0,0,347071,7.78,Nao identificado,S,3.0
248,1,2,Feminino,2,24.0,0,2,250649,14.5,Nao identificado,S,3.0
249,1,1,Masculino,1,37.0,1,1,11751,52.55,D35,S,3.0
250,0,2,Masculino,1,54.0,1,0,244252,26.0,Nao identificado,S,3.0
251,0,3,Masculino,1,,0,0,362316,7.25,Nao identificado,S,3.0
252,0,3,Feminino,2,29.0,1,1,347054,10.46,G6,S,3.0
253,0,1,Masculino,1,62.0,0,0,113514,26.55,C87,S,3.0
254,0,3,Masculino,1,30.0,1,0,A/5. 3336,16.1,Nao identificado,S,3.0
255,0,3,Feminino,2,41.0,0,2,370129,20.21,Nao identificado,S,3.0
256,1,3,Feminino,2,29.0,0,2,2650,15.25,Nao identificado,C,1.0
257,1,1,Feminino,2,,0,0,PC 17585,79.2,Nao identificado,C,1.0
258,1,1,Feminino,2,30.0,0,0,110152,86.5,B77,S,3.0
259,1,1,Feminino,2,35.0,0,0,PC 17755,512.33,Nao identificado,C,1.0
260,1,2,Feminino,2,50.0,0,1,230433,26.0,Nao identificado,S,3.0
261,0,3,Masculino,1,,0,0,384461,7.75,Nao identificado,Q,2.0
263,0,1,Masculino,1,52.0,1,1,110413,79.65,E67,S,3.0
264,0,1,Masculino,1,40.0,0,0,112059,0.0,B94,S,3.0
265,0,3,Feminino,2,,0,0,382649,7.75,Nao identificado,Q,2.0
266,0,2,Masculino,1,36.0,0,0,C.A. 17248,10.5,Nao identificado,S,3.0
267,0,3,Masculino,1,16.0,4,1,3101295,39.69,Nao identificado,S,3.0
268,1,3,Masculino,1,25.0,1,0,347083,7.78,Nao identificado,S,3.0
269,1,1,Feminino,2,58.0,0,1,PC 17582,153.46,C125,S,3.0
270,1,1,Feminino,2,35.0,0,0,PC 17760,135.63,C99,S,3.0
271,0,1,Masculino,1,,0,0,113798,31.0,Nao identificado,S,3.0
272,1,3,Masculino,1,25.0,0,0,LINE,0.0,Nao identificado,S,3.0
273,1,2,Feminino,2,41.0,0,1,250644,19.5,Nao identificado,S,3.0
274,0,1,Masculino,1,37.0,0,1,PC 17596,29.7,C118,C,1.0
275,1,3,Feminino,2,,0,0,370375,7.75,Nao identificado,Q,2.0
276,1,1,Feminino,2,63.0,1,0,13502,77.96,D7,S,3.0
277,0,3,Feminino,2,45.0,0,0,347073,7.75,Nao identificado,S,3.0
278,0,2,Masculino,1,,0,0,239853,0.0,Nao identificado,S,3.0
280,1,3,Feminino,2,35.0,1,1,C.A. 2673,20.25,Nao identificado,S,3.0
281,0,3,Masculino,1,65.0,0,0,336439,7.75,Nao identificado,Q,2.0
282,0,3,Masculino,1,28.0,0,0,347464,7.85,Nao identificado,S,3.0
283,0,3,Masculino,1,16.0,0,0,345778,9.5,Nao identificado,S,3.0
284,1,3,Masculino,1,19.0,0,0,A/5. 10482,8.05,Nao identificado,S,3.0
285,0,1,Masculino,1,,0,0,113056,26.0,A19,S,3.0
286,0,3,Masculino,1,33.0,0,0,349239,8.66,Nao identificado,C,1.0
287,1,3,Masculino,1,30.0,0,0,345774,9.5,Nao identificado,S,3.0
288,0,3,Masculino,1,22.0,0,0,349206,7.9,Nao identificado,S,3.0
289,1,2,Masculino,1,42.0,0,0,237798,13.0,Nao identificado,S,3.0
290,1,3,Feminino,2,22.0,0,0,370373,7.75,Nao identificado,Q,2.0
291,1,1,Feminino,2,26.0,0,0,19877,78.85,Nao identificado,S,3.0
292,1,1,Feminino,2,19.0,1,0,11967,91.08,B49,C,1.0
293,0,2,Masculino,1,36.0,0,0,SC/Paris 2163,12.88,D,C,1.0
294,0,3,Feminino,2,24.0,0,0,349236,8.85,Nao identificado,S,3.0
295,0,3,Masculino,1,24.0,0,0,349233,7.9,Nao identificado,S,3.0
296,0,1,Masculino,1,,0,0,PC 17612,27.72,Nao identificado,C,1.0
